NSE,date
2244.02,11/06/2007
2228.1,12/06/2007
2215.74,13/06/2007
2249.91,14/06/2007
2252.98,15/06/2007
2252.98,16/06/2007
2252.98,17/06/2007
2252.61,18/06/2007
2290.02,19/06/2007
2321.26,20/06/2007
2335.42,21/06/2007
2343.19,22/06/2007
2343.19,23/06/2007
2343.19,24/06/2007
2358.83,25/06/2007
2379.54,26/06/2007
2380.71,27/06/2007
2397.88,28/06/2007
2417.45,29/06/2007
2417.45,30/06/2007
2417.45,01/07/2007
2436.52,02/07/2007
2457.31,03/07/2007
2476.25,04/07/2007
2463.49,05/07/2007
2479.15,06/07/2007
2479.15,07/07/2007
2479.15,08/07/2007
2504.13,09/07/2007
2489.09,10/07/2007
2498.91,11/07/2007
2536.46,12/07/2007
2553.58,13/07/2007
2553.58,14/07/2007
2553.58,15/07/2007
2563.56,16/07/2007
2544.44,17/07/2007
2543.57,18/07/2007
2572.18,19/07/2007
2582.94,20/07/2007
2582.94,21/07/2007
2582.94,22/07/2007
2583.91,23/07/2007
2574.74,24/07/2007
2552.3,25/07/2007
2551.49,26/07/2007
2483.43,27/07/2007
2483.43,28/07/2007
2483.43,29/07/2007
2503.5,30/07/2007
2541.26,31/07/2007
2438.67,01/08/2007
2470.62,02/08/2007
2508.21,03/08/2007
2508.21,04/08/2007
2508.21,05/08/2007
2472.28,06/08/2007
2479,07/08/2007
2497.96,08/08/2007
2448.69,09/08/2007
2432.16,10/08/2007
2432.16,11/08/2007
2432.16,12/08/2007
2445.68,13/08/2007
2440.26,14/08/2007
2440.26,15/08/2007
2353.06,16/08/2007
2312.97,17/08/2007
2312.97,18/08/2007
2312.97,19/08/2007
2346.29,20/08/2007
2256.98,21/08/2007
2264.85,22/08/2007
2244.32,23/08/2007
2290.79,24/08/2007
2290.79,25/08/2007
2290.79,26/08/2007
2365.86,27/08/2007
2389.63,28/08/2007
2409.69,29/08/2007
2417.32,30/08/2007
2457.28,31/08/2007
2457.28,01/09/2007
2457.28,02/09/2007
2506.4,03/09/2007
2536.88,04/09/2007
2545.46,05/09/2007
2573.99,06/09/2007
2572.26,07/09/2007
2572.26,08/09/2007
2572.26,09/09/2007
2572.32,10/09/2007
2566.85,11/09/2007
2569.52,12/09/2007
2598.47,13/09/2007
2586.5,14/09/2007
2586.5,15/09/2007
2586.5,16/09/2007
2601.72,17/09/2007
2637.42,18/09/2007
2678.12,19/09/2007
2696.6,20/09/2007
2698.3,21/09/2007
2698.3,22/09/2007
2698.3,23/09/2007
2787.74,24/09/2007
2816.37,25/09/2007
2803.17,26/09/2007
2783.79,27/09/2007
2865.44,28/09/2007
2865.44,29/09/2007
2865.44,30/09/2007
2926.5,01/10/2007
2926.5,02/10/2007
2938.12,03/10/2007
2948.13,04/10/2007
2916.54,05/10/2007
2916.54,06/10/2007
2916.54,07/10/2007
2779.15,08/10/2007
2895.42,09/10/2007
2925.92,10/10/2007
2983.23,11/10/2007
2952.21,12/10/2007
2952.21,13/10/2007
2952.21,14/10/2007
3066.99,15/10/2007
3105.63,16/10/2007
3009.68,17/10/2007
2915,18/10/2007
2806.14,19/10/2007
2806.14,20/10/2007
2806.14,21/10/2007
2829.06,22/10/2007
3001.39,23/10/2007
3076.83,24/10/2007
3104.92,25/10/2007
3196.83,26/10/2007
3196.83,27/10/2007
3196.83,28/10/2007
3285.78,29/10/2007
3256.05,30/10/2007
3287.5,31/10/2007
3248.27,01/11/2007
3290.6,02/11/2007
3290.6,03/11/2007
3290.6,04/11/2007
3398.43,05/11/2007
3345.72,06/11/2007
3320.67,07/11/2007
3281.15,08/11/2007
3289.05,09/11/2007
3289.05,10/11/2007
3289.05,11/11/2007
3255.2,12/11/2007
3353.5,13/11/2007
3443.86,14/11/2007
3508.5,15/11/2007
3529.4,16/11/2007
3529.4,17/11/2007
3529.4,18/11/2007
3623.02,19/11/2007
3585.34,20/11/2007
3375.75,21/11/2007
3325.67,22/11/2007
3415.85,23/11/2007
3415.85,24/11/2007
3415.85,25/11/2007
3478.69,26/11/2007
3453.49,27/11/2007
3419.95,28/11/2007
3408.87,29/11/2007
3525.39,30/11/2007
3525.39,01/12/2007
3525.39,02/12/2007
3628.52,03/12/2007
3690.62,04/12/2007
3739.24,05/12/2007
3724.84,06/12/2007
3708.81,07/12/2007
3708.81,08/12/2007
3708.81,09/12/2007
3725.65,10/12/2007
3752.25,11/12/2007
3812.08,12/12/2007
3855.89,13/12/2007
3883.99,14/12/2007
3883.99,15/12/2007
3883.99,16/12/2007
3681,17/12/2007
3667.54,18/12/2007
3670.35,19/12/2007
3646.09,20/12/2007
3646.09,21/12/2007
3646.09,22/12/2007
3646.09,23/12/2007
3744.18,24/12/2007
3744.18,25/12/2007
3818.03,26/12/2007
3839.53,27/12/2007
3934.55,28/12/2007
3934.55,29/12/2007
3934.55,30/12/2007
4019.91,31/12/2007
4123.76,01/01/2008
4234.48,02/01/2008
4250.59,03/01/2008
4243.83,04/01/2008
4243.83,05/01/2008
4243.83,06/01/2008
4257.46,07/01/2008
4170.12,08/01/2008
4107.82,09/01/2008
3959.94,10/01/2008
3957.88,11/01/2008
3957.88,12/01/2008
3957.88,13/01/2008
4018.61,14/01/2008
4008.33,15/01/2008
3966.87,16/01/2008
3972.15,17/01/2008
3762.89,18/01/2008
3762.89,19/01/2008
3762.89,20/01/2008
3316.52,21/01/2008
2978.92,22/01/2008
3221.82,23/01/2008
3071.72,24/01/2008
3298.6,25/01/2008
3298.6,26/01/2008
3298.6,27/01/2008
3291.26,28/01/2008
3287.05,29/01/2008
3196.19,30/01/2008
3137.5,31/01/2008
3166.88,01/02/2008
3166.88,02/02/2008
3166.88,03/02/2008
3289.57,04/02/2008
3325.06,05/02/2008
3291.94,06/02/2008
3193.73,07/02/2008
3118.71,08/02/2008
3118.71,09/02/2008
3118.71,10/02/2008
2928.02,11/02/2008
2882.57,12/02/2008
2879.02,13/02/2008
3042.2,14/02/2008
3109.17,15/02/2008
3109.17,16/02/2008
3109.17,17/02/2008
3106.89,18/02/2008
3129.44,19/02/2008
3044.66,20/02/2008
3074.53,21/02/2008
3051.13,22/02/2008
3051.13,23/02/2008
3051.13,24/02/2008
3062.63,25/02/2008
3077.18,26/02/2008
3069.41,27/02/2008
3060.6,28/02/2008
3043.46,29/02/2008
3043.46,01/03/2008
3043.46,02/03/2008
2905.79,03/03/2008
2839.66,04/03/2008
2797.21,05/03/2008
2797.21,06/03/2008
2651.76,07/03/2008
2651.76,08/03/2008
2651.76,09/03/2008
2639.7,10/03/2008
2743.23,11/03/2008
2733.3,12/03/2008
2544.7,13/03/2008
2562.34,14/03/2008
2562.34,15/03/2008
2562.34,16/03/2008
2365.73,17/03/2008
2301,18/03/2008
2272.01,19/03/2008
2272.01,20/03/2008
2272.01,21/03/2008
2272.01,22/03/2008
2272.01,23/03/2008
2210.97,24/03/2008
2387.88,25/03/2008
2423.38,26/03/2008
2415.24,27/03/2008
2517.45,28/03/2008
2517.45,29/03/2008
2517.45,30/03/2008
2463.02,31/03/2008
2423.92,01/04/2008
2443.39,02/04/2008
2429.05,03/04/2008
2381.46,04/04/2008
2381.46,05/04/2008
2381.46,06/04/2008
2405.99,07/04/2008
2421.91,08/04/2008
2457.37,09/04/2008
2482.84,10/04/2008
2513.7,11/04/2008
2513.7,12/04/2008
2513.7,13/04/2008
2513.7,14/04/2008
2548.74,15/04/2008
2591.73,16/04/2008
2655.6,17/04/2008
2655.6,18/04/2008
2655.6,19/04/2008
2655.6,20/04/2008
2711.76,21/04/2008
2748.77,22/04/2008
2763.25,23/04/2008
2728.86,24/04/2008
2762.08,25/04/2008
2762.08,26/04/2008
2762.08,27/04/2008
2776.62,28/04/2008
2802.29,29/04/2008
2810.86,30/04/2008
2810.86,01/05/2008
2860.92,02/05/2008
2860.92,03/05/2008
2860.92,04/05/2008
2896.2,05/05/2008
2843.82,06/05/2008
2825.65,07/05/2008
2798.04,08/05/2008
2718.56,09/05/2008
2718.56,10/05/2008
2718.56,11/05/2008
2705.22,12/05/2008
2701.93,13/05/2008
2734.17,14/05/2008
2773.89,15/05/2008
2792.37,16/05/2008
2792.37,17/05/2008
2792.37,18/05/2008
2792.37,19/05/2008
2771.72,20/05/2008
2802.03,21/05/2008
2748.56,22/05/2008
2706.36,23/05/2008
2706.36,24/05/2008
2706.36,25/05/2008
2626.66,26/05/2008
2594.37,27/05/2008
2628.57,28/05/2008
2635.6,29/05/2008
2644.3,30/05/2008
2644.3,31/05/2008
2644.3,01/06/2008
2574.47,02/06/2008
2574.18,03/06/2008
2479.18,04/06/2008
2470.99,05/06/2008
2453.92,06/06/2008
2453.92,07/06/2008
2453.92,08/06/2008
2379.01,09/06/2008
2346.58,10/06/2008
